,,22913,6446,23062,26273,5698,28990,4086,5704,54762,5730,9829,3746,1622,5139,55220,54458,27252,8321,9238,3915,65999,54867,26148,1825,200576,60496,6147,9779,64854,78992,55843,2277,3931,11064,80124,27068,3914,162,22976,8877,10553,11005,55343,2242,9141,4351,5096,1471,64852,8899,8611,29880,6721,10856,51291,8502,100289678,4521,727897,7852,1291,25822,220988,51760,6513,27235,10900,7852,79647,25769,23017,1717,6484,7225,28955,54875,51110,6272,9519,10873,837,140597,391,5250,2262,1716,6188,22844,55165,29927,2235,60494,962,6722,4882,55616,28513,5244,9512,1016
,,10412,4833,1949,6834,51479,80741,55176,9194,79567,8464,9975,9527,9976,6143,6911,51085,79176,285203,10682,25816,207,515,23080,84975,1295,57576,7004,79156,439921,9885,118433,80000,2922,57798,815,79086,7368,284001,3303,51329,51318,885,6536,3607,81689,3399,79746,55201,60561,6814,114882,5565,5271,6352,7039,9937,55853,753,64208,4792,6125,781,1028,26085,2965,8425,6050,3760,11143,26011,80324,92,51109,51112,23066,23277,116039,27348,7386,7167,29110,1912,57101,79733,79870,5939,64853,29097,29926,27286,5684,9899,3663,57513,54998,7866,4174,5322,3249,83468
,,7311,51460,64760,1464,23359,22876,65982,29088,51499,7456,347,11178,9046,25979,8661,10237,8894,8540,57698,171586,51275,1768,4321,79990,10752,942,113178,80328,6882,79852,56920,7846,55753,55954,23051,11338,10935,8906,4237,91373,55735,1063,5696,79003,2882,11320,6614,5362,9752,25844,58516,3145,7596,3111,51117,80067,22981,9188,55643,23270,6019,5139,10398,54796,3476,51540,57089,4644,27236,28955,57763,2073,3491,5502,9446,4016,57634,9542,51131,8639,1366,3931,1641,22829,6633,9757,843,8893,79642,8425,4297,7083,57716,2879,22797,9922,784,11160,6446,3646
,,3985,23515,5476,7033,10808,7299,3800,8804,57158,5000,83714,10247,79899,27122,55726,5091,2118,8483,58986,259197,5996,481,27284,55573,5931,81579,8086,6628,91977,50512,26136,23390,79600,8704,25842,420,9392,23641,3838,8161,9641,54904,2073,78992,79836,7008,54741,26191,547,11022,54805,51231,4327,79811,10892,3232,55585,7763,10190,79042,54454,3161,2886,8216,54762,55182,2140,3745,790,9162,156,10538,3633,6324,800,11236,2913,58525,3428,80267,2810,219699,23186,4294,2631,54797,7156,1657,5599,10092,91298,10142,3299,1571,2053,2067,63928,29887,54882,7223
,,54998,10221,79158,8795,57130,89853,26354,9255,51123,2946,3251,51099,11222,55205,1949,3516,3703,23017,51780,9651,23118,64856,9787,9201,80020,10495,9531,43849,7071,8925,51123,22985,81857,2010,3824,7327,3487,5984,9914,79718,55347,9477,55192,9519,79101,64850,63982,10948,8654,51182,211,3838,10947,23090,23277,8682,57140,23205,55922,26140,10235,26227,80319,2122,5201,5387,91373,81035,10868,79759,9420,3303,23029,4212,9463,7130,4065,9056,1268,22999,2697,10463,55355,3241,57092,10980,54839,1737,26277,10313,79038,6387,3636,54934,80267,1838,9181,6676,2677,3998
,,7436,1611,283345,10170,9056,55030,7360,23327,3642,8405,7903,59,23034,25978,26575,79663,29959,79640,939,9895,146227,5834,55311,839,51204,643641,994,79016,5922,23052,51302,6489,65124,10802,6602,54876,56172,746,10462,25804,9159,79929,22897,4289,375790,80778,1435,10038,55194,3347,25992,58478,26512,1378,79974,10321,79590,10389,126353,689,56902,55450,6746,23360,57470,3326,10490,54436,4301,11062,10690,57343,22938,23592,9917,9371,2353,10664,9201,9077,7844,114932,8502,51203,23209,3091,3785,2737,29078,51542,26128,9079,10007,6187,4758,9617,2821,51287,3823,1001
,,9103,478,57205,409,5106,55208,249,2919,9976,51230,1789,63923,93436,28962,84722,491,55915,64419,6814,8881,11079,6909,10236,4314,4775,50833,60686,55966,23133,10969,55892,10307,7155,1435,79646,55699,3909,54499,2882,9464,79230,80148,904,5878,10594,1733,23139,949,80013,10004,80164,23031,27095,81609,9902,25804,5579,5510,80774,785,8416,6710,79695,8916,1627,8834,8777,11340,8174,5268,3006,9341,23564,54948,517,6167,58478,51309,55843,11146,81611,655,261726,79686,81627,2029,3295,3213,2954,115708,10422,8289,79864,1609,6337,240,3308,515,3037,11169
,,975,10450,7485,5204,51642,79147,10842,80013,5516,11041,8883,2863,5962,51284,10226,4259,1616,367,10492,9491,8079,51111,730101,9529,55763,3111,118433,8881,1244,79763,26471,3625,7334,55756,8175,54946,27012,23165,26112,80127,175,11130,10539,11122,55027,50632,8398,5104,118,8853,6890,93664,26031,416,11320,171546,10328,22981,3043,54433,27237,5688,8458,57147,114791,10670,518,3780,54069,10602,5253,55324,54069,54962,10121,5792,9841,84861,78995,3678,10150,4753,23274,5724,141,64175,7277,1806,2104,10451,60436,51068,9887,79815,4291,3665,10352,22948,6935,54942
,,57109,1737,5134,10370,23335,83604,23321,2354,5920,10772,55975,57161,51621,116039,1855,56172,775,23032,10383,9368,55425,1983,2746,8031,11131,8727,131578,1269,55320,810,9217,11235,26297,7743,1374,23612,55145,51506,81554,51634,54900,3321,4036,283450,50650,9095,2302,159,4173,23357,3604,9721,23007,60681,655,26093,6919,133,7205,5354,9541,5498,55798,54531,7139,64772,10538,55815,11153,8644,23499,148022,1826,7139,23167,9752,55650,4038,1004,9794,5694,3661,1734,11276,2898,175,6925,2580,256949,7763,7171,5191,7163,57591,27445,4283,23543,313,2705,64506
,,5453,5894,55900,9817,27445,11215,90865,210,51444,91304,4739,375248,5567,553115,80777,22826,23522,51704,4734,5729,2230,51315,10215,91289,8318,64785,57142,57050,8446,8808,5609,80741,5100,51550,79066,10457,55287,57084,23090,29909,80004,57212,64710,6451,51428,50650,842,8140,23371,55764,3778,7586,57804,7597,56647,3146,3858,54329,2475,65005,64837,80279,51081,4969,23390,1902,51400,11037,7323,23029,4071,8493,9651,9531,51501,3164,79899,25801,5152,3049,80174,81578,10125,11143,904,57020,79590,23141,444,6597,8861,10219,11102,59272,51128,6400,79085,23339,7140,80741
